1021203012000193059611731     Linha Reta Centro Automotivo Ltda EPetrolina                     PE87398322442017010120180103331
5400399857002846551  00079664045000011861          000000010000000000087920000000004480000000000000000000000000000000000000000
5400399857002846551  00079664045000011636          000000020000000000038380000000001960000000000000000000000000000000000000000
5400399857002846551  00079664045000011396          000000020000000000108260000000005520000000000000000000000000000000000000000
5400399857002846551  0007966404500001240           000000020000000000022840000000001160000000000000000000000000000000000000000
5400399857002846551  0007966404500001702           000000010000000000025770000000001310000000000000000000000000000000000000000
5400399857002846551  00079664045000011026          000000010000000000057090000000002910000000000000000000000000000000000000000
5400399857002846551  00079664045000011173          000000010000000000068510000000003490000000000000000000000000000000000000000
5400399857002846551  0007966404500001994           000000080000000000109610000000005590000000000000000000000000000000000000000
5400399857002846551  0007966404500001204           000000020000000000015220000000000780000000000000000000000000000000000000000
5400399857002846551  00079664045000011248          000000020000000000057090000000002910000000000000000000000000000000000000000
5400399857002846551  0007966404500001578           000000040000000000062530000000003190000000000000000000000000000000000000000
5405440725000114551  00079754055000012355          000000010000000000039600000000000000000000000000000000000000000000000000000
5405440725000114551  00079754055000011229          000000035000000000098000000000000000000000000000000000000000000000000000000
5405440725000114551  000797540550000167            000000010000000000026000000000000000000000000000000000000000000000000000000
5405440725000114551  00079754055000012267          000000010000000000026400000000000000000000000000000000000000000000000000000
5400298293000135551  00079852025000014600          000000010000000000030000000000000000000000000000000000000000000000000000000
5405440725000114551  00079954055000014612          000000010000000000119000000000017000000000000000000000000000000000000000000
5405440725000114551  00080054055000014599          000000010000000000063650000000011150000000000000000000000000000000000000000
5405440725000114551  00080054055000011222          000000010000000000026200000000004600000000000000000000000000000000000000000
5405440725000114551  0008005405500001835           000000010000000000026370000000004630000000000000000000000000000000000000000
5405440725000114551  00080054055000013947          000000010000000000115700000000020300000000000000000000000000000000000000000
5405440725000114551  00080054055000011231          000000070000000000178660000000031340000000000000000000000000000000000000000
5405440725000114551  000801540550000167            000000010000000000024450000000001550000000000000000000000000000000000000000
5405440725000114551  00080154055000012355          000000010000000000025930000000001650000000000000000000000000000000000000000
5405440725000114551  00080154055000011229          000000035000000000115170000000007330000000000000000000000000000000000000000
5405440725000114551  000801540550000161            000000010000000000024450000000001550000000000000000000000000000000000000000
5405440725000114551  00080254055000011904          000000010000000000026890000000003110000000000000000000000000000000000000000
5405440725000114551  0008025405500001572           000000070000000000175720000000020280000000000000000000000000000000000000000
5405440725000114551  00080254055000014442          000000020000000000196480000000022680000000000000000000000000000000000000000
